doctorid,email,password,name,mobilenum,address,specialisation,experience
D022,dr.megan@example.com,password123,"Dr. Megan Davis",9876543231,"1919 Birchwood St, City V",Surgery,11
D023,dr.matt@example.com,password123,"Dr. Matt Carter",9876543232,"2020 Willowwood St, City W",Cardiology,8
D024,dr.victor@example.com,password123,"Dr. Victor King",9876543233,"2121 Redwoodwood St, City X",Endocrinology,20
D025,dr.claire@example.com,password123,"Dr. Claire Turner",9876543234,"2222 Pinewood St, City Y",Dermatology,18
D026,dr.joseph@example.com,password123,"Dr. Joseph Green",9876543235,"2323 Oakwood St, City Z",Neurology,15
D027,dr.laura@example.com,password123,"Dr. Laura Mitchell",9876543236,"2424 Birchwood St, City AA",Psychiatry,6
D028,dr.luke@example.com,password123,"Dr. Luke Scott",9876543237,"2525 Willowwood St, City BB",Nephrology,12
D029,dr.susanm@example.com,password123,"Dr. Susan Miller",9876543238,"2626 Redwoodwood St, City CC",Surgery,9
D030,dr.charles@example.com,password123,"Dr. Charles Thomas",9876543239,"2727 Pinewood St, City DD",Gastroenterology,17
D031,dr.sylvia@example.com,password123,"Dr. Sylvia Evans",9876543240,"2828 Oakwood St, City EE",Cardiology,14
D032,dr.kyle@example.com,password123,"Dr. Kyle Bennett",9876543241,"2929 Pinewood St, City FF",Pulmonology,19
D033,dr.rachel@example.com,password123,"Dr. Rachel Carter",9876543242,"3030 Willowwood St, City GG",Gastroenterology,8
D034,dr.anna@example.com,password123,"Dr. Anna Morgan",9876543243,"3131 Redwoodwood St, City HH",Neurology,7
D035,dr.william@example.com,password123,"Dr. William Baker",9876543244,"3232 Maplewood St, City II",Orthopedics,16
D036,dr.isabella@example.com,password123,"Dr. Isabella Clark",9876543245,"3333 Cedarwood St, City JJ",Surgery,18
D037,dr.gabriel@example.com,password123,"Dr. Gabriel Miller",9876543246,"3434 Oakwood St, City KK",Psychiatry,10
D038,dr.tiffany@example.com,password123,"Dr. Tiffany Walker",9876543247,"3535 Pinewood St, City LL",Pediatrics,13
D039,dr.felix@example.com,password123,"Dr. Felix Johnson",9876543248,"3636 Birchwood St, City MM",Endocrinology,12
D040,dr.claudia@example.com,password123,"Dr. Claudia Evans",9876543249,"3737 Willowwood St, City NN",Cardiology,14
D041,dr.nathan@example.com,password123,"Dr. Nathan Turner",9876543250,"3838 Redwoodwood St, City OO",Dermatology,9
D042,dr.olivia@example.com,password123,"Dr. Olivia Davis",9876543251,"3939 Cedarwood St, City PP",Pulmonology,5
D043,dr.mark@example.com,password123,"Dr. Mark Thomas",9876543252,"4040 Pinewood St, City QQ",Orthopedics,11
D044,dr.christina@example.com,password123,"Dr. Christina White",9876543253,"4141 Oakwood St, City RR",Neurology,13
D045,dr.liam@example.com,password123,"Dr. Liam Clark",9876543254,"4242 Birchwood St, City SS",Surgery,17
D046,dr.zoe@example.com,password123,"Dr. Zoe Harris",9876543255,"4343 Maplewood St, City TT",Pediatrics,12
D047,dr.evan@example.com,password123,"Dr. Evan Roberts",9876543256,"4444 Willowwood St, City UU",Gastroenterology,15
D048,dr.maria@example.com,password123,"Dr. Maria Lee",9876543257,"4545 Oakwood St, City VV",Psychiatry,8
D049,dr.tom@example.com,password123,"Dr. Tom King",9876543258,"4646 Redwoodwood St, City WW",Ophthalmology,18
D051,dr.ella@example.com,password123,"Dr. Ella Mitchell",9876543260,"4848 Cedarwood St, City YY",Nephrology,7
D052,dr.julian@example.com,password123,"Dr. Julian Green",9876543261,"4949 Birchwood St, City ZZ",Surgery,10
D053,dr.holly@example.com,password123,"Dr. Holly Walker",9876543262,"5050 Oakwood St, City AAA",Dermatology,14
D054,dr.ricardo@example.com,password123,"Dr. Ricardo Brown",9876543263,"5151 Pinewood St, City BBB","General Medicine",11
D055,dr.amanda@example.com,password123,"Dr. Amanda Lewis",9876543264,"5252 Willowwood St, City CCC",Cardiology,9
D056,dr.diana@example.com,password123,"Dr. Diana Harris",9876543265,"5353 Redwoodwood St, City DDD",Pulmonology,8
D057,dr.carl@example.com,password123,"Dr. Carl Moore",9876543266,"5454 Oakwood St, City EEE",Neurology,17
D058,dr.kimberly@example.com,password123,"Dr. Kimberly King",9876543267,"5555 Pinewood St, City FFF",Ophthalmology,20
D059,dr.jessica@example.com,password123,"Dr. Jessica Lee",9876543268,"5656 Willowwood St, City GGG",Rheumatology,12
D060,dr.august@example.com,password123,"Dr. August Johnson",9876543269,"5757 Oakwood St, City HHH",Surgery,13
D061,dr.melissa@example.com,password123,"Dr. Melissa Adams",9876543270,"5858 Cedarwood St, City III",Orthopedics,6
D062,dr.cameron@example.com,password123,"Dr. Cameron Wright",9876543271,"5959 Maplewood St, City JJJ",Psychiatry,16
D063,dr.maya@example.com,password123,"Dr. Maya Thompson",9876543272,"6060 Birchwood St, City KKK",Cardiology,10
D064,dr.andrew@example.com,password123,"Dr. Andrew Scott",9876543273,"6161 Willowwood St, City LLL",Neurology,11
D065,dr.jordan@example.com,password123,"Dr. Jordan Bell",9876543274,"6262 Oakwood St, City MMM",Gastroenterology,13
D066,dr.ruby@example.com,password123,"Dr. Ruby Lee",9876543275,"6363 Pinewood St, City NNN",Endocrinology,14
D067,dr.evelyn@example.com,password123,"Dr. Evelyn Green",9876543276,"6464 Redwoodwood St, City OOO",Pulmonology,9
D068,dr.ryanb@example.com,password123,"Dr. Ryan Bennett",9876543277,"6565 Cedarwood St, City PPP",Ophthalmology,7
D069,dr.kristen@example.com,password123,"Dr. Kristen Moore",9876543278,"6666 Birchwood St, City QQQ",Radiology,18
D070,dr.jim@example.com,password123,"Dr. Jim White",9876543279,"6767 Oakwood St, City RRR",Surgery,20
D071,dr.helena@example.com,password123,"Dr. Helena Carter",9876543280,"6868 Maplewood St, City SSS",Dermatology,12
D072,dr.patricia@example.com,password123,"Dr. Patricia Young",9876543281,"6969 Pinewood St, City TTT",Gastroenterology,15
D073,dr.quentin@example.com,password123,"Dr. Quentin King",9876543282,"7070 Willowwood St, City UUU",Endocrinology,11
D074,dr.julianb@example.com,password123,"Dr. Julian Thomas",9876543283,"7171 Cedarwood St, City VVV",Psychiatry,8
D075,dr.tessa@example.com,password123,"Dr. Tessa Harris",9876543284,"7272 Oakwood St, City WWW",Pediatrics,9
D076,dr.josephb@example.com,password123,"Dr. Joseph Edwards",9876543285,"7373 Birchwood St, City XXX",Cardiology,16
D077,dr.nicholas@example.com,password123,"Dr. Nicholas Martin",9876543286,"7474 Maplewood St, City YYY",Orthopedics,18
D078,dr.sandra@example.com,password123,"Dr. Sandra Miller",9876543287,"7575 Cedarwood St, City ZZZ",Nephrology,12
D079,dr.margaret@example.com,password123,"Dr. Margaret Evans",9876543288,"7676 Birchwood St, City AAAA",Dermatology,7
D080,dr.julius@example.com,password123,"Dr. Julius Collins",9876543289,"7777 Pinewood St, City BBBB",Pediatrics,14
D081,dr.maryb@example.com,password123,"Dr. Mary Peterson",9876543290,"7878 Oakwood St, City CCCC",Gastroenterology,10
D082,dr.virginia@example.com,password123,"Dr. Virginia Moore",9876543291,"7979 Maplewood St, City DDDD","General Medicine",13
D083,dr.tobias@example.com,password123,"Dr. Tobias Wright",9876543292,"8080 Birchwood St, City EEEE",Surgery,17
D084,dr.catherine@example.com,password123,"Dr. Catherine Brown",9876543293,"8181 Willowwood St, City FFFF",Radiology,11
D085,dr.daniella@example.com,password123,"Dr. Daniella Moore",9876543294,"8282 Oakwood St, City GGGG",Ophthalmology,10
D086,dr.arthur@example.com,password123,"Dr. Arthur Scott",9876543295,"8383 Pinewood St, City HHHH",Surgery,14
D087,dr.nichole@example.com,password123,"Dr. Nichole Green",9876543296,"8484 Redwoodwood St, City IIII",Psychiatry,9
D088,dr.hank@example.com,password123,"Dr. Hank Wilson",9876543297,"8585 Cedarwood St, City JJJJ",Nephrology,12
D089,dr.angela@example.com,password123,"Dr. Angela Mitchell",9876543298,"8686 Birchwood St, City KKKK",Otolaryngology,8
D090,dr.patrick@example.com,password123,"Dr. Patrick Green",9876543299,"8787 Pinewood St, City LLLL",Pulmonology,15
dhrr,pravargav24@gmail.com,lielife24,"pravargav jetty",1651156354465,machilipatnam,"computer science",7
